assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
210019059,22713004,Xanthomixis apperti,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Xanthomixis,apperti,,,,"(Colston, 1972)",Vulnerable,A2c,3.1,Decreasing,Global
210407845,22692264,Mentocrex kioloides,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Mentocrex,kioloides,,,,"(Pucheran, 1845)",Least Concern,,3.1,Decreasing,Global
210431496,22708024,Xenopirostris xenopirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Xenopirostris,xenopirostris,,,,"(Lafresnaye, 1850)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
210948813,22708012,Calicalicus madagascariensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Calicalicus,madagascariensis,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
211083802,22725453,Coua cristata,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,cristata,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
211136059,22725463,Coua pyropyga,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,pyropyga,,,,"Grandidier, 1867",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
211188760,22725437,Coua ruficeps,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,ruficeps,,,,"G.R. Gray, 1846",Least Concern,,3.1,Stable,Global
211240263,22708041,Falculea palliata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Falculea,palliata,,,,"Geoffroy Saint-Hilaire, 1836",Least Concern,,3.1,Decreasing,Global
231072418,22693780,Charadrius thoracicus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Charadrius,thoracicus,,,,"(Richmond, 1896)",Vulnerable,C2a(i),3.1,Decreasing,Global
231668509,22688493,Tyto soumagnei,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,TYTONIDAE,Tyto,soumagnei,,,,"(Grandidier, 1878)",Vulnerable,C2a(i),3.1,Decreasing,Global
